epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,909.58,1.62402,2.62789,1.20839,0.40818,0.44476,0.39333,0.22382,1.43009,1.84261,1.22172,0.000207292,0.000207292,0.000207292
2,1578.52,1.35615,1.3287,1.07049,0.50015,0.54819,0.50089,0.29297,1.29608,1.54496,1.14282,0.00041151,0.00041151,0.00041151
3,2223.52,1.28582,1.182,1.05265,0.61204,0.53606,0.53415,0.32127,1.24155,1.35912,1.13577,0.000611604,0.000611604,0.000611604
